glycan_id,glycan,species,immunogenicity,inferred_origin,link,genus,family,order,class,phylum,kingdom,domain
4266,GlcNAc(b1-3)[GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc,,,Chordata,,,,,,,,
4267,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,,,Chordata,,,,,,,,
4268,GalOS(b1-4)GlcNAc(b1-3)Gal(b1-3)[GalOS(b1-4)GlcNAc(b1-6)]GalNAc,,,Chordata,,,,,,,,
4269,KdoOPEtn(a2-4)[Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)]Kdo,,,Bacteria,,,,,,,,
4270,Man(b1-2)DDManHep(a1-3)[Man(b1-4)]DDManHep(a1-5)[Kdo(a2-4)Kdo(a2-4)]Kdo(a2-6)GlcOPNOPam(b1-6)GlcOPNOPam,['Coxiella_burnetii'],,,,['Coxiella'],['Coxiellaceae'],['Legionellales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria']
4271,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal,,,Bacteria,,,,,,,,
4272,[Araf(a1-2)][Araf(a1-3)]Araf(a1-5)Araf(a1-5)[Araf(a1-3)]Araf(a1-5)[Araf(a1-3)]Araf(a1-5)Araf(a1-5)Araf,['Malus_domestica'],,,,['Malus'],['Rosaceae'],['Rosales'],['Dicotyledons'],['Angiosperms'],['Plantae'],['Eukarya']
4273,GalOPyr(b1-3)GalNAc(a1-3)[Fuc(a1-2)]GalOPEtn(b1-4)Glc,,,none,,,,,,,,
4274,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,,,,,,,,
4275,Glc(b1-6)[Gal(a1-3)]Glc(b1-6)Glc(b1-3)Glc(b1-6)[Glc(a1-3)]Glc(b1-6)Glc(b1-3)Glc,['Pleurotus_ostreatus'],,,,['Pleurotus'],['Pleurotaceae'],['Agaricales'],['Agaricomycetes'],['Basidiomycota'],['Fungi'],['Eukarya']
4276,Glc(b1-3)[Glc(b1-4)]Glc(b1-2)[Man(a1-6)]Gal(a1-3)Glc(b1-6)Glc,['Pleurotus_florida'],,,,['Pleurotus'],['Pleurotaceae'],['Agaricales'],['Agaricomycetes'],['Basidiomycota'],['Fungi'],['Eukarya']
4277,Fuc(a1-3)GlcNAc(b1-6)DDManHep(a1-2)[Glc(a1-4)Gal(b1-7)]DDManHep(a1-2)LDManHep(a1-3)LDManHepOPEtn(a1-5)Kdo,['Helicobacter_pylori'],,,,['Helicobacter'],['Helicobacteraceae'],['Campylobacterales'],['Epsilonproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria']
4278,GalNAc(a1-3)[Fuc(a1-2)]GalF,,,none,,,,,,,,
4279,Man(a1-2)Man(a1-3)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,,,Mammalia,,,,,,,,
4280,Man(a1-2)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-2)Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Ascomycota,,,,,,,,
4281,GalASer(a1-4)GalA(a1-3)GalAAla(a1-3)GlcNAc(b1-3)GalASer(a1-4)GalA(a1-3)GalAAla(a1-3)GlcNAc,['Vibrio_alginolyticus'],,,,['Vibrio'],['Vibrionaceae'],['Vibrionales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria']
