seqs,preds,method
"['GalfOAc', 'b1-4', '1-4', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0030070858,Mutated-Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1dEry-ol', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00031745524,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', '1-6', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",9.920606e-05,Mutated-Random
"['Glc', 'b1-6', 'Glc', '2,5-Anhydro-Man-ol', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.40301745e-05,Mutated-Random
"['Man', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', '1-5', 'Man']",7.673431e-06,Mutated-Random
"['Man', 'b1-4', 'Rha', 'a1-3', 'GalOAc', '1-6', 'Man', '1-1', '1-1', '1-1', '1-1']",6.916142e-06,Mutated-Random
"['Glc', '1dEry-ol', 'Glc', 'a1-3', 'GlcOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2.9254941e-05,Mutated-Random
"['Man', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', '1-6']",6.645272e-05,Mutated-Random
"['Man', '2,5-Anhydro-Man-ol', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-2', 'Man']",4.2235342e-06,Mutated-Random
"['1dAlt-ol', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00024058117,Mutated-Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '1-1', '1-1', '1-1', '1-2', '1-1', '1-1']",5.1842185e-06,Mutated-Random
"['Man', 'a1-3', 'Man', '2,5-Anhydro-Man-ol', 'Man', 'a1-3', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",0.00012617592,Mutated-Random
